plot,og_age,current_age,og_pg,current_pg
90,13,17,4,2
53,14,18,38,24
84,17,21,1,1
206,18,22,13,1
88,22,26,4,1
20,26,30,17,2
85,36,40,1,0
87,36,40,2,0
12,37,42,1,0
22,37,42,2,1
